158 words in NOV, 3 2009-PIODALAN RING PURA POLTABES.txt
221 words in NOV, 3 2009-SMK PGRI 3 DPS NGELAKSANAYANG UPACARA NGENTEG LINGGIH.txt
217 words in NOV, 3 2009-TAWUR AGUNG RING PURA PUSEH KEDONGDONG.txt
207 words in NOV, 3 2009-UPACARA NGENTEG LINGGIH RING BANJAR CEMARA AGUNG.txt
181 words in NOV, 4 2009-DESA ADAT YEHA NGMARGIANG KARYA AGUNG.txt
198 words in NOV, 4 2009-KARYA AGUNG MAMUNGKAH RING PURA DALEM DIGDE.txt
527 words in NOV, 7 2009-DPR Sakadi Pusat Syaraf.txt
681 words in NOV, 7 2009-I Baluan (1).txt
244 words in NOV, 7 2009-I Madé Molog.txt
585 words in NOV, 7 2009-Jejeh.txt
489 words in NOV, 7 2009-Lumut-lumut Watulumbang (44) Metemu di Tanggun Idep.txt
1319 words in SEP, 20 2009-Berung.txt
970 words in SEP, 6 2009-Tulah.txt
