word_count	path	year_folder
630	JAN, 13 2008-Bencana Alam Sayan Sering Nibénin Bali.txt	2008
664	JAN, 13 2008-I Sangging Lobangkara nemu Suargan.txt	2008
207	JAN, 13 2008-Sampunang Lali Manyama Braya.txt	2008
836	JAN, 13 2008-SURAT.txt	2008
234	JAN, 13 2008-Wantah Atenga Alas Baliné sané Jakti Marupa Alas.txt	2008
772	JAN, 20 2008-I Sigir, Jlema tuah Asibak.txt	2008
414	JAN, 20 2008-Karma Suci  Molihang Suarga.txt	2008
421	JAN, 20 2008-Mapatung, Ngraketang Pasawitran Nyanggra Galungan.txt	2008
214	JAN, 20 2008-Ngasorang Sang Kala Tiga.txt	2008
252	JAN, 20 2008-Ngrereh Jati Diri.txt	2008
450	JAN, 20 2008-Nylimurang Manah antuk Mébat Galungan.txt	2008
267	JAN, 20 2008-Rahina Sukra, Wajib Mebasa Bali.txt	2008
330	JAN, 20 2008-Tadah Kala.txt	2008
461	JAN, 20 2008-Uliang sané Ilang.txt	2008
275	JAN, 20 2008-Upanishad  Karya Kesustraan Pinih Ungkur.txt	2008
195	JAN, 27 2008-Dados Mangku saking Alit.txt	2008
419	JAN, 27 2008-Gegitan Kembang Rampé Dharmayana Pariksa.txt	2008
790	JAN, 27 2008-I Sigir, Jlema tuah Asibak (2).txt	2008
220	JAN, 27 2008-Ketut 'Cedil' Suanda.txt	2008
552	JAN, 6 2008-Malajah Saking Buku, Malajah Nulis Buku.txt	2008
511	JAN, 6 2008-Ramé-ramé Ngucapang Selamat Hari Raya Antuk SMS.txt	2008
259	JAN, 6 2008-Sameton Bali wantah Sameton Global.txt	2008
691	JAN, 6 2008-Satua I Raré Angon (3).txt	2008
1062	JAN, 6 2008-Wa  Gurit.txt	2008
770	MAR, 16 2008-I Pucung (2).txt	2008
583	MAR, 16 2008-Mitra lan Satru.txt	2008
467	MAR, 16 2008-Ri kala Mamitra Dados Laksana Pangus.txt	2008
459	MAR, 2 2008-Banjar lan Désa Pakraman Patut Midabdabin Pamargin Ogoh-ogoh.txt	2008
422	MAR, 2 2008-Gogo Ogoh-Ogoh.txt	2008
703	MAR, 2 2008-I Dempuawang (3).txt	2008
227	MAR, 2 2008-Ida Pandita Mpu Jaya Wijayananda.txt	2008
427	MAR, 2 2008-Mala Maling.txt	2008
229	MAR, 2 2008-Weruh ring Sastra Surupakena ring Laksana.txt	2008
518	MAR, 23 2008-Kersten lan Basa Bali.txt	2008
427	MAR, 23 2008-Pakaryan Ageng, Gubernur Bali Jagi Rauh.txt	2008
555	MAR, 23 2008-Saduajeng Cagub-cawagub Bali.txt	2008
589	MAR, 30 2008-Akéh Margi Nuju Nagasepaha.txt	2008
800	MAR, 30 2008-I Belog Mantu (1).txt	2008
510	MAR, 30 2008-Lukisan Kaca Nagasepaha.txt	2008
756	MEI, 11 2008-I Lacur (1).txt	2008
218	MEI, 11 2008-Krama Baliné Patut Pada Rungu.txt	2008
743	MEI, 11 2008-Mamadon.txt	2008
351	MEI, 11 2008-Ngwaliang Dresta Makemit utawi Ngaryanin Gedong Panyimpenan.txt	2008
460	MEI, 18 2008-Buda Cemeng Klawu, mangda nénten Buduh sareng Jinah.txt	2008
715	MEI, 18 2008-I Lacur (2).txt	2008
437	MEI, 18 2008-Jaman Jinah, Jinah, lan Jinah.txt	2008
50	MEI, 18 2008-Kepala Sekolah nuntut tunjangan jabatan katincapang.txt	2008
384	MEI, 18 2008-Mipisin Gumi.txt	2008
580	MEI, 18 2008-Pédopilia Patut Kayatnain.txt	2008
518	MEI, 18 2008-Pipis.txt	2008
445	MEI, 18 2008-Satia-Pasaja.txt	2008
878	MEI, 18 2008-Upah.txt	2008
897	MEI, 25 2008-Anak Buduh.txt	2008
459	MEI, 25 2008-Budaya Mamaca Krama Baliné.txt	2008
698	MEI, 25 2008-Buta Aksara.txt	2008
381	MEI, 25 2008-Kelih.txt	2008
412	MEI, 25 2008-Maca lan  Makaca.txt	2008
510	MEI, 25 2008-M-O-U.txt	2008
459	MEI, 25 2008-Nincapang Budaya Mamaca, Ajin Bukuné Patut Mudah.txt	2008
507	MEI, 25 2008-Nyujur Sunia.txt	2008
709	MEI, 25 2008-Pan Angklung Gadang (1).txt	2008
529	MEI, 25 2008-Parilaksana Bolos ring Sekolah.txt	2008
454	MEI, 4 2008-Ngadungang Pendidikan Formal sareng Dunia Kerja.txt	2008
911	NOV, 16 2008-Sun San Set.txt	2008
970	NOV, 2 2008-Cawet (Buda Rebo)_938.txt	2008
866	NOV, 23 2008-Patut Lestariang.txt	2008
1267	NOV, 30 2008-Cik Ong.txt	2008
1166	NOV, 9 2008-Treh.txt	2008
1056	OKT, 12 2008-Proyek.txt	2008
1128	OKT, 19 2008-Mekel Paris.txt	2008
